game,white_wins,black_wins,draws,avg_loss,avg_game_length,len_0_20,len_21_40,len_41_60,len_61_80,len_81plus
100,3,2,95,7.025397,196.2,0,0,1,0,99
200,0,0,100,4.716705,100.0,0,0,0,0,100
300,0,1,99,4.375825,99.7,0,0,0,1,99
400,0,0,100,4.088302,100.0,0,0,0,0,100
500,1,0,99,3.906897,99.8,0,0,0,0,100
600,0,0,100,3.782521,100.0,0,0,0,0,100
700,0,0,100,3.651087,100.0,0,0,0,0,100
800,0,0,100,3.556867,100.0,0,0,0,0,100
900,0,0,100,3.488764,100.0,0,0,0,0,100
1000,0,0,100,3.438158,100.0,0,0,0,0,100
1100,0,0,100,3.401162,100.0,0,0,0,0,100
